Name,Category,Organiser,Eligibility (Gen),What it is / Outcome,PRIMARY CATEGORY,DIFFICULTY TIER,CAREER PATH TAG,WHEN TO ATTEMPT
TCS NQT,Corporate,TCS,"B.Tech/BE, 60%/6 CGPA, no backlogs",National Qualifier Test; Ninja/Digital/Prime bands; ₹3.6L–₹9L CTC,Corporate Employability Test,Beginner,Software Engineer,Final year
Infosys InfyTQ,Corporate,Infosys,"B.Tech, 65%/6.5 CGPA",Certification-based hiring platform; SE/Power Programmer/Specialist tracks,Corporate Employability Test,Intermediate,Software Engineer,3rd year
Wipro NLTH,Corporate,Wipro,"B.Tech, 60%, no backlogs",Elite National Talent Hunt; aptitude + coding; ₹3.5–4.5 LPA,Corporate Employability Test,Beginner,Software Engineer,Final year
Cognizant GenC / GenC Next,Corporate,Cognizant,"B.Tech, 60%",Mass hiring test; GenC Next for higher performers; aptitude + coding,Corporate Employability Test,Beginner,Software Engineer,Final year
Accenture Hiring Challenge,Corporate,Accenture,"B.Tech, 60%",Cognitive + coding test; shortlists for ASE / System Associate roles,Corporate Employability Test,Intermediate,Software Engineer,Final year
HCL TechBee / LEAP,Corporate,HCLTech,"B.Tech, 60%",Aptitude + technical test; entry-level tech roles,Corporate Employability Test,Beginner,Software Engineer,Final year
Tech Mahindra SMART Hiring,Corporate,Tech Mahindra,"B.Tech, 60%",Online test + coding; recruits for software engineer roles,Corporate Employability Test,Beginner,Software Engineer,Final year
Capgemini Game Changer,Corporate,Capgemini,"B.Tech, 60%",Cocubes-based test; aptitude + pseudocode; ₹4–6 LPA,Corporate Employability Test,Beginner,Software Engineer,Final year
L&T Infotech (LTIMindtree) NTA,Corporate,LTIMindtree,"B.Tech, 60%",National hiring test for software developer roles,Corporate Employability Test,Beginner,Software Engineer,Final year
Mphasis Next-Gen Hiring,Corporate,Mphasis,"B.Tech, 60%",Online aptitude + technical test; entry-level engineer,Corporate Employability Test,Beginner,Software Engineer,Final year
Hexaware Hiring Test,Corporate,Hexaware,"B.Tech, 60%",Aptitude + verbal + coding; software trainee roles,Corporate Employability Test,Beginner,Software Engineer,Final year
Goldman Sachs India Hackathon (GSIH),Corporate,Goldman Sachs,B.Tech undergrad,CS + Quant 12-hr hackathon; PPI at Goldman Sachs; FinTech/systems focus,Corporate Hackathon,Advanced,Finance-Tech,3rd year
Morgan Stanley Code2Win,Corporate,Morgan Stanley,"B.Tech, 60%+",Competitive coding contest; top performers get internship/FTE interviews,Corporate Hackathon,Advanced,Finance-Tech,3rd year
Deutsche Bank HackVenture,Corporate,Deutsche Bank,B.Tech undergrad,FinTech coding challenge; shortlists for DB tech roles,Corporate Hackathon,Advanced,Finance-Tech,3rd year
TCS CodeVita,Hackathon,TCS,B.Tech (all years),World's largest competitive programming contest; top scorer gets direct TCS Digital offer,Corporate Hackathon,Advanced,Software Engineer,3rd year
Smart India Hackathon (SIH),Hackathon,MoE / Govt of India,All B.Tech students (teams of 6),National 36-hr hackathon on govt problem statements; ₹1L+ prize; highest MoE prestige,National/Govt Hackathon,Advanced,Software Engineer,1st-2nd year
HackWithInfy,Hackathon,Infosys,"B.Tech/BE, 65%",Competitive programming; top rank → Specialist Programmer offer at ₹9.5 LPA,Corporate Hackathon,Intermediate,Software Engineer,3rd year
HackOn With Amazon,Hackathon,Amazon India,B.Tech/MCA,GenAI/systems hackathon; PPI at Amazon; ₹2.25 lakh prize pool,Corporate Hackathon,Advanced,Software Engineer,3rd year
Flipkart GRiD,Hackathon,Flipkart,B.Tech (all years),Software Dev / Infosec / Robotics tracks; PPO/internship for top performers,Corporate Hackathon,Advanced,Software Engineer,3rd year
Microsoft Imagine Cup,Hackathon,Microsoft,Students worldwide; any B.Tech,Global product-building competition; finalists tracked by Microsoft recruiters; cash + Azure credits,Corporate Hackathon,Elite,Software Engineer,3rd year
Adobe GenSolve,Hackathon,Adobe,"B.Tech, grad years 2025–27",Generative AI + Creative Cloud hackathon; internship/mentorship from Adobe India,Corporate Hackathon,Advanced,Software Engineer,3rd year
Myntra HackerRamp,Hackathon,Myntra,B.Tech 3rd/4th year,Fashion-tech product hack; PPO opportunities; expert mentoring from Myntra engineers,Corporate Hackathon,Advanced,Software Engineer,3rd year
Accenture Innovation Challenge,Hackathon,Accenture,All B.Tech/MBA students,Real-world case-based challenge; fast-track interview for ASE/System Associate,Corporate Hackathon,Intermediate,Software Engineer,3rd year
IIT Bombay Techfest Hackathon,Hackathon,IIT Bombay,All students,Asia's largest college tech fest; industry-sponsored PS from Google/Microsoft/Qualcomm,National/Govt Hackathon,Intermediate,Software Engineer,1st-2nd year
TechGig Code Gladiators,Hackathon,TechGig,Students & professionals,India's largest coding contest; ₹20L+ prizes; annual; great for competitive coding exposure,Corporate Hackathon,Advanced,Software Engineer,3rd year
Optum Hack2Hire,Hackathon,UnitedHealth/Optum,B.Tech final year,HealthTech hackathon; top performers get direct job offers at Optum India,Corporate Hackathon,Intermediate,Software Engineer,Final year
HackAI / Google for Developers,Hackathon,Google / MLH,All B.Tech students,"AI/ML themed hackathons; healthcare, agri, fintech; judges from IITs and AI companies",Corporate Hackathon,Intermediate,Software Engineer,1st-2nd year
AWS DeepRacer / Build On India,Hackathon,Amazon Web Services,All students,Cloud/ML challenge; AWS credits + job referrals; mirrors real Amazon interview expectations,Corporate Hackathon,Intermediate,Software Engineer,1st-2nd year
Univ.AI Hackathon / HackerEarth,Hackathon,Various,All B.Tech,Platform-hosted ML/AI contests; regular cadence year-round; good for portfolio building,Competitive Coding Platform,Intermediate,Software Engineer,1st-2nd year
Unstop / D2C Competitions,Hackathon,Unstop platform,All B.Tech,"Aggregator of 100s of company-hosted hackathons; Deloitte, PwC, EY, Bajaj Finserv etc.",Competitive Coding Platform,Beginner,Software Engineer,1st-2nd year
CodeChef SnackDown / Starters,Hackathon,CodeChef,All students,ICPC-style team coding contest; global ranking; strong competitive programming resume value,Competitive Coding Platform,Advanced,Software Engineer,1st-2nd year
Codeforces / LeetCode Contests,Hackathon,CF / LC,All,Online competitive programming rounds; ratings used by top product companies for shortlisting,Competitive Coding Platform,Elite,Software Engineer,1st-2nd year
